Date,Applicant_Name,NGO_Name,City_Town_Village,Project_Name,Requested_Amount_PKR,Legitimate_Estimate_PKR,Fraud_Type,Fraud_Indicator,Population_Census_Record,Invoice_ID,Vendor_Name,Bank_Reference_No,Bank_Name,Is_Fraud
3/28/2021,Imran Saleem,Naya Umeed NGO,Rani Ghoath,Rural School Rehabilitation,"Rs 462,700","Rs 462,700",Approved,Compliant with Guidelines,"16,580",INV-PQZFO30X,Kamran Materials & Builder's,BR-ASK-0895402376,Askari Bank,FALSE
4/5/2023,Khadija Sheikh,Nishat Welfare Organization,Seeta Village,Livelihoods: Small Business Grants,"Rs 551,700","Rs 551,770",Approved,Compliant with Guidelines,"5,285",INV-K1ACFSF6,Faisal Farm House,BR-ABL-2741867564,Allied Bank,FALSE
10/5/2021,Aisha Saleem,Naya Umeed NGO,Sahiwall,Clean Water & Sanitation Project,"Rs 2,251,900","Rs 2,251,900",Approved,Compliant with Guidelines,"6,285",INV-1QNQVIEX,PakTech Equipments Ltd,BR-ABL-6802729514,Allied Bank,FALSE
11/12/2021,Yasir Hussain,Pak-Sahar Trust,Multan,Covid-19 Awareness & Vaccination Support,"Rs 6,726,100","Rs 4,501,077",Expense/Reimbursement Fraud,Invoices lack vendor contact details,"2,215,381",INV-SWWKRPC3,Metro Office Solutions,BR-NBP-5795281425,National Bank of Pakistan,TRUE
1/19/2024,Nadia Khan,KARWAN HAMARA NGO,Abbottabad,Maternal and Child Health Outreach,"Rs 157,700","Rs 157,700",Approved,Compliant with Guidelines,"234,395",INV-DT4RK9FF,Bright Future Printers,BR-MCB-9605721023,MCB Bank Limited,FALSE
9/20/2023,Rabia Butt,Sahara Development Foundation,Khuzdar,Rural School Rehabilitation,"Rs 115,500","Rs 115,500",Approved,Compliant with Guidelines,"65,942",INV-D8WZGL51,BlueSky Logistics Company,BR-SCB-8071308022,Standard Chartered Pakistan,FALSE
8/3/2022,Aisha Farooq,Green Villages Pakistan,Mirpur Khas,Community Health Camps,"Rs 10,060,600","Rs 10,060,550",Approved,Compliant with Guidelines,"1,001,205",INV-P51V9NXM,Khas Content Writer & Printers,BR-ASK-2718840896,Askari Bank,FALSE
10/7/2023,Mubashir Javed,Green Villages Pakistan,Lahore,Covid-19 Awareness & Vaccination Support,"Rs 112,800","Rs 112,800",Approved,Compliant with Guidelines,"13,004,135",INV-I4PLMVK5,SafeHands Pharmaceuticals Ltd,BR-MEBL-3386203105,Meezan Bank,FALSE
4/13/2024,Bilal Ahmed,Green Villages Pakistan,Quetta,Livelihoods: Small Business Grants,"Rs 161,400","Rs 161,400",Approved,Compliant with Guidelines,"1,565,546",INV-WRRVAXGU,Green Cattle House,BR-HBL-6001762731,Habib Bank Limited,FALSE
10/24/2022,Khadija Mirza,Sehat & Taleem Initiative,Sukkur,Girls EDUCATION Drive,"Rs 50,700","Rs 50,700",Approved,Compliant with Guidelines,"1,625,467",INV-WKZCZVVW,SafeHands Pharmaceuticals,BR-MCB-9318749278,MCB Bank Limited,FALSE
8/27/2021,Nabeel Abbasi,Green Villages Pakistan,Ghotki,Disaster Relief Rapid Response,"Rs 125,900","Rs 125,780",Approved,Compliant with Guidelines,"16,456",INV-TAIP1KEL,Al-Faisal Supplies Ltd,BR-FBL-2171816667,Faysal Bank,FALSE
10/8/2023,Yasir Khan,Sehat & Taleem Initiative,Rawalpindi,Vocational Training for Youth,"Rs 6,003,500","Rs 6,003,500",Approved,Compliant with Guidelines,"3,357,612",INV-1LC8A4OC,Tech-Computers ,BR-ABL-2170283478,Allied Bank,FALSE
2/7/2021,Hira Mirza,Sehat & Taleem Initiative,Gujranwala,Rural School Rehabilitation,"Rs 11,161,900","Rs 11,161,880",Approved,Compliant with Guidelines,"11,126,285",INV-E4ZNZZE2,Shahid School's Hardware Suplier,BR-FBL-9416352686,Faysal Bank,FALSE
8/24/2021,Zara Hussain,Green Villages Pakistan,Sukkur,Rural Students Rehabilitation,"Rs 6,527,800","Rs 6,527,779",Approved,Compliant with Guidelines,"1,625,467",INV-S95ADJ6Q,Dr. RAHIL Psychologist & Counselor ,BR-HBL-1115585697,Habib Bank Limited,FALSE
12/22/2024,Rabia Javed,Green Villages Pakistan,Gwadar,Schools And Colleges Rehabilitation,"Rs 2,983,200","Rs 2,983,200",Approved,Compliant with Guidelines,"551,357",INV-SEJOKILP,China Constructions,BR-ALF-8153940460,Bank Alfalah,FALSE
11/13/2021,Mehwish Shah,Nishat Welfare Organization,Badin,Girls EDUCATION Drive,"Rs 11,922,100","Rs 11,922,100",Approved,Compliant with Guidelines,"915,357",INV-KOHD5MHB,Khas Content Writer & Printers,BR-ASK-8378932744,Askari Bank,FALSE
11/22/2021,Zara Ahmed,Sahara Development Foundation,Faisalabad,Maternal and Child Health Outreach,"Rs 3,938,400","Rs 3,938,400",Approved,Compliant with Guidelines,"3,691,999",INV-T3FLWL91,BlueSky Logistics Company,BR-ABL-7237232043,Allied Bank,FALSE
1/20/2021,Yasir Ahmed,Sehat & Taleem Initiative,Quetta,Tree-Plantation & Greenery Initiative,"Rs 473,500","Rs 473,500",Approved,Compliant with Guidelines,"1,565,546",INV-I9HDV9NM,Phool Wala Garden,BR-FBL-8935174884,Faysal Bank,FALSE
8/23/2022,Ali Ahmed,Roshan Welfare Trust,Karachi,Community Health Camps,"Rs 265,100","Rs 265,100",Approved,Compliant with Guidelines,"18,870,000",INV-DP3CA4BD,Metro Office Solutions,BR-NBP-2893628011,National Bank of Pakistan,FALSE
8/12/2023,Aisha Abbasi,Sehat & Taleem Initiative,Bahawalpur,Rural School Rehabilitation,"Rs 202,100","Rs 202,100",Approved,Compliant with Guidelines,"903,795",INV-DBZQ7IB4,PakTech Equipments Ltd,BR-ABL-0138314045,Allied Bank,FALSE
3/21/2021,Usman Sheikh,Sehat & Taleem Initiative,Sargodha,Girls EDUCATION & VOCATIONAL Training,"Rs 138,900","Rs 138,855",Approved,Compliant with Guidelines,"4,871,843",INV-03DSW1S6,Sargodha Educator's Expert,BR-NBP-8816205316,National Bank of Pakistan,FALSE
1/2/2024,Mubashir Farooq,Naya Umeed NGO,Quetta,Community Health Camps,"Rs 594,000","Rs 594,000",Approved,Compliant with Guidelines,"1,565,546",INV-P56A2TYZ,Nishat Pharmacy Ltd,BR-MCB-7213010879,MCB Bank Limited,FALSE
3/6/2021,Yasir Hussain,Naya Umeed NGO,Abbottabad,Disaster Relief Rapid Response,"Rs 1,842,000","Rs 1,842,000",Approved,Compliant with Guidelines,"234,395",INV-MFH5E8FZ,BlueSky Logistics Company,BR-NBP-2659221536,National Bank of Pakistan,FALSE
12/11/2024,Mubashir Raza,Roshan Welfare Trust,Karachi,Community Health Camps in small Towns,"Rs 10,101,600","Rs 10,101,600",Approved,Compliant with Guidelines,"18,870,000",INV-X6JMRE2U,Metro Office Solutions,BR-MEBL-4749573767,Meezan Bank,FALSE
12/31/2024,Usman Anwar,Sehat & Taleem Initiative,Dera Ghazi Khan,School And Colleges Rehabilitation,"Rs 12,148,200","Rs 12,148,163",Approved,Compliant with Guidelines,"8,231",INV-OLJQZDCS,PakTech Equipments Ltd,BR-ALF-7345141172,Bank Alfalah,FALSE
2/4/2021,Nadia Saleem,Sahara Development Foundation,Multan,Community Health Camps,"Rs 1,680,500","Rs 1,680,500",Approved,Compliant with Guidelines,"2,215,381",INV-29PY5KH2,Sunrise Stationers & Books,BR-UBL-4128920293,United Bank Limited,FALSE
9/1/2021,Hassan Butt,Roshan Welfare Trust,Multan,Girls EDUCATION Drive,"Rs 8,530,300","Rs 8,530,300",Approved,Compliant with Guidelines,"2,215,381",INV-SDDVXYLF,EduServe Publishers,BR-UBL-4148772073,United Bank Limited,FALSE
6/14/2022,Sana Shah,Sahara Development Foundation,Quetta,Women Health Outreach & Camp,"Rs 4,279,100","Rs 4,279,053",Approved,Compliant with Guidelines,"1,565,546",INV-1RAIH0NO,Metro Office Solutions,BR-ALF-0135993978,Bank Alfalah,FALSE
9/15/2023,Sana Javed,Pak-Sahar Trust,Lahore,Tree-Plantation & Greenery Initiative,"Rs 987,700","Rs 987,700",Approved,Compliant with Guidelines,"13,004,135",INV-JPTVH31A,Mujeeb Garden & Plantation,BR-FBL-7146633799,Faysal Bank,FALSE
11/9/2022,Usman Saleem,Naya Umeed NGO,Dera Ghazi Khan,Disaster Relief Rapid Response,"Rs 1,164,300","Rs 886,784",Expense/Reimbursement Fraud,Ghost vendor detected,"8,231",INV-74DPHU2X,BlueSky Logistics Company,BR-UBL-4944222627,United Bank Limited,TRUE
2/15/2023,Nabeel Anwar,Green Pakistan Welfare,Kalat,Disaster Relief Rapid Response,"Rs 833,800","Rs 833,788",Approved,Compliant with Guidelines,"65,620",INV-OD97QQ1Q,United Medical & Relief Vendors,BR-ASK-1775247183,Askari Bank,FALSE
9/2/2024,Sana Mirza,Sahara Development Foundation,Karachi,Polio & Dengue Awareness Campain,"Rs 1,195,000","Rs 1,195,000",Approved,Compliant with Guidelines,"18,870,000",INV-4I4CXGF8,Nishat Pharmacy Ltd,BR-HBL-0347016295,Habib Bank Limited,FALSE
5/12/2024,Yasir Sheikh,Roshan Welfare Trust,Bahawalpur,Rural  Primary School Rehabilitation,"Rs 3,834,900","Rs 3,834,849",Approved,Compliant with Guidelines,"903,795",INV-R3KVGNQD,Shaheen Builder & Developer,BR-NBP-6378243329,National Bank of Pakistan,FALSE
4/23/2024,Hira Khan,Sahara Development Foundation,Faisalabad,Livelihoods: Small Business Grants,"Rs 699,300","Rs 699,300",Approved,Compliant with Guidelines,"3,691,999",INV-CYBRXODH,SafeHands Pharmaceuticals Ltd,BR-ALF-1550408906,Bank Alfalah,FALSE
5/19/2021,Mubashir Qureshi,Roshan Welfare Trust,Rawalpindi,Vocational Training for Youth,"Rs 695,200","Rs 695,200",Approved,Compliant with Guidelines,"3,357,612",INV-YME6PSRB,Al-Faisal Supplies Ltd,BR-MEBL-4891141997,Meezan Bank,FALSE
8/16/2021,Bilal Ahmed,Naya Umeed NGO,Sialkot,Girls Primary EDUCATION Drive,"Rs 497,400","Rs 497,366",Approved,Compliant with Guidelines,"835,337",INV-JJ1WSFDI,Private Primary School Head Office,BR-FBL-3876493680,Faysal Bank,FALSE
5/24/2023,Yasir Saleem,Sahara Development Foundation,Sahiwal,Disaster Relief Rapid Response for House,"Rs 1,098,700","Rs 1,098,700",Approved,Compliant with Guidelines,"6,285",INV-WE773T93,Shaheen Builde & Developer,BR-UBL-4700106489,United Bank Limited,FALSE
5/25/2023,Imran Mirza,Nishat Welfare Organization,Sajawal,Rural High School Rehabilitation,"Rs 341,700","Rs 341,700",Approved,Compliant with Guidelines,"11,843",INV-3I0GXHC6,Zubair Education Adviser,BR-MCB-5893296571,MCB Bank Limited,FALSE
4/1/2024,Sana Abbasi,Roshan Welfare Trust,Rawalpindi,Disaster Relief Rapid Response for House,"Rs 346,600","Rs 346,600",Approved,Compliant with Guidelines,"3,357,612",INV-R0AZ0ZNZ,Sun Stationers & Developers,BR-MEBL-0367679137,Meezan Bank,FALSE
4/10/2023,Hira Javed,Green Villages Pakistan,Quetta,Maternal and Child Health Outreach,"Rs 2,421,800","Rs 2,421,800",Approved,Compliant with Guidelines,"1,565,546",INV-PDSO9SPD,EduServe Publishers ,BR-HBL-1185578820,Habib Bank Limited,FALSE
6/14/2022,Omar Saleem,Sehat & Taleem Initiative,Sukkur,Livelihoods: Small Business Grants,"Rs 1,201,700","Rs 1,201,700",Approved,Compliant with Guidelines,"1,625,467",INV-JOA14ZGI,EduServe Publishers,BR-ALF-0971204646,Bank Alfalah,FALSE
4/12/2021,Nabeel Javed,Roshan Welfare Trust,Peshawar,Clean Water & Sanitation Project,"Rs 97,900","Rs 97,900",Approved,Compliant with Guidelines,"1,905,975",INV-3AI6AYNP,Metro Office Solutions,BR-FBL-7435903730,Faysal Bank,FALSE
11/19/2024,Rabia Anwar,TALEEM-DO Welfare Organization,Lahore,Girls IT-EDUCATION Drive,"Rs 151,100","Rs 151,100",Approved,Compliant with Guidelines,"13,004,135",INV-4FODMJMB,PakTech Equipments Ltd,BR-NBP-8493661143,National Bank of Pakistan,FALSE
1/14/2022,Yasir Anwar,KHIDMAT Welfare Organization,Peshawar,Disaster Relief Rapid Response in Medical camp,"Rs 7,950,000","Rs 7,950,000",Approved,Compliant with Guidelines,"1,905,975",INV-NIE3FKP9,SafeHands Pharmaceuticals Ltd,BR-FBL-9260796269,Faysal Bank,FALSE
2/7/2022,Khadija Javed,Sehat & Taleem Initiative,Quetta,Covid-19 Awareness & Vaccination Support,"Rs 447,200","Rs 447,200",Approved,Compliant with Guidelines,"1,565,546",INV-5AWLGITI,Sharjeel Pharmaceuticals Store,BR-ABL-9143696252,Allied Bank,FALSE
5/12/2022,Fatima Abbasi,Roshan Welfare Trust,Peshawar,Rural Boys Primary School Rehabilitation,"Rs 993,000","Rs 992,990",Approved,Compliant with Guidelines,"1,905,975",INV-HFA58S9E,BlueSky Logistics Company,BR-SCB-7978494858,Standard Chartered Pakistan,FALSE
9/10/2021,Fahad Hussain,Roshan Welfare Trust,Karachi,Vocational IT-Training for Youth,"Rs 4,310,300","Rs 4,310,300",Approved,Compliant with Guidelines,"18,870,000",INV-89214311,PakTech Equipments Ltd,BR-SCB-5786833207,Standard Chartered Pakistan,FALSE
3/23/2024,Mehwish Qureshi,Roshan Welfare Trust,Lahore,Livelihoods: Small Business Grants,"Rs 361,200","Rs 361,200",Approved,Compliant with Guidelines,"13,004,135",INV-H7LM2LW7,Saeed Chicken Wholesales,BR-HBL-3846920425,Habib Bank Limited,FALSE
7/20/2022,Ali Khan,Roshan Welfare Trust,Sahiwal,Livelihoods: Small Business Grants,"Rs 150,500","Rs 150,473",Approved,Compliant with Guidelines,"6,285",INV-3G4WANI2,SARDARJI Cattles and Farm House,BR-FBL-6340922842,Faysal Bank,FALSE
5/12/2021,Fatima Javed,TALEEM-DO Welfare Organization,Faisalabad,Girls Basic EDUCATION Drive,"Rs 9,839,800","Rs 9,839,800",Approved,Compliant with Guidelines,"3,691,999",INV-9MW68M1I,GreenLeaf Construction,BR-NBP-5189940424,National Bank of Pakistan,FALSE
5/29/2023,Sana Abbasi,Sahara Development Foundation,Quetta,Disaster Relief Rapid Response in Medical camp,"Rs 227,300","Rs 227,300",Approved,Compliant with Guidelines,"1,565,546",INV-2O4Q067C,SafeHands Pharmaceuticals Ltd,BR-NBP-2388371465,National Bank of Pakistan,FALSE
10/23/2021,Mubashir Saleem,Naya Umeed NGO,Karachi,Clean Water & Sanitation Project For Towns,"Rs 1,599,000","Rs 1,599,000",Approved,Compliant with Guidelines,"18,870,000",INV-472J8NP9,SafeHands Pharmaceuticals Ltd,BR-HBL-8792974234,Habib Bank Limited,FALSE
12/28/2022,Zara Raza,Nishat Welfare Organization,Pasni,Maternal and Child Health Medical Camp,"Rs 108,500","Rs 108,450",Approved,Compliant with Guidelines,"43,494",INV-RGMUDIIQ,Nishat Pharmacy Ltd,BR-UBL-3899120745,United Bank Limited,FALSE
4/27/2024,Nabeel Qureshi,Nishat Welfare Organization,Umerkot,Covid-19 Awareness & Vaccination Support,"Rs 833,300","Rs 833,300",Approved,Compliant with Guidelines,"77,821",INV-Q790VON8,Nishat Pharmacy Ltd,BR-NBP-3531333057,National Bank of Pakistan,FALSE
3/4/2023,Ali Ahmed,Sehat & Taleem Initiative,Quetta,Vocational Training for Youth,"Rs 5,231,600","Rs 5,231,600",Approved,Compliant with Guidelines,"1,565,546",INV-IUYD7RIN,Al-Faisal Supplies Ltd,BR-HBL-8345466229,Habib Bank Limited,FALSE
7/25/2023,Hira Shah,Green Villages Pakistan,Multan,Covid-19 Awareness & Vaccination Support,"Rs 5,888,700","Rs 3,698,727",Expense/Reimbursement Fraud,Beneficiary counts inconsistent,"2,215,381",INV-AFVNUY82,Metro Office Solutions,BR-MCB-8984615492,MCB Bank Limited,TRUE
9/21/2021,Nabeel Mirza,Roshan Welfare Trust,Rawalpindi,Vocational Training for Youth,"Rs 247,000","Rs 247,000",Approved,Compliant with Guidelines,"3,357,612",INV-WIH73P4M,Al-Faisal Supplies Ltd,BR-NBP-9474978402,National Bank of Pakistan,FALSE
6/2/2021,Fahad Khan,Nishat Welfare Organization,Sargodha,Disaster Relief Rapid Response in Education,"Rs 7,924,900","Rs 7,924,900",Approved,Compliant with Guidelines,"4,871,843",INV-DTYN4BPS,Educators Books Publishers,BR-SCB-0228002576,Standard Chartered Pakistan,FALSE
9/23/2023,Hira Khan,Nishat Welfare Organization,Rawalpindi,Small Aggriculture Businesses,"Rs 4,160,800","Rs 4,160,787",Approved,Compliant with Guidelines,"3,357,612",INV-OLT34KFF,Seed Engro Fertilizers Company,BR-ABL-8234668357,Allied Bank,FALSE
4/2/2021,Yasir Farooq,Nishat Welfare Organization,Sukkur,Rural Girls Middle School Rehabilitation,"Rs 1,599,800","Rs 1,599,800",Approved,Compliant with Guidelines,"1,625,467",INV-YAGS1KWQ,Mir Jalal Builders,BR-SCB-1034430398,Standard Chartered Pakistan,FALSE
12/30/2023,Yasir Raza,Green Pakistan Welfare,Jacobabad,Livelihoods: Small Business Grants,"Rs 5,737,300","Rs 5,737,300",Approved,Compliant with Guidelines,"778,521",INV-GU65S6Y5,Fish seeds Supplies Ltd,BR-SCB-4525401586,Standard Chartered Pakistan,FALSE
4/10/2024,Yasir Sheikh,Sehat & Taleem Initiative,Rawalpindi,Clean Water & Sanitation Project,"Rs 2,509,600","Rs 2,509,600",Approved,Compliant with Guidelines,"3,357,612",INV-ANEO9VAX,Metro Office Solutions,BR-ABL-1754476161,Allied Bank,FALSE
5/9/2021,Usman Javed,Naya Umeed NGO,Karachi,Girls EDUCATION Drive,"Rs 396,900","Rs 396,900",Approved,Compliant with Guidelines,"18,870,000",INV-HAPYWDRD,Sunrise Stationers,BR-MEBL-5588813706,Meezan Bank,FALSE
1/30/2023,Rabia Anwar,Sahara Development Foundation,Lahore,Livelihoods: Small Business Grants,"Rs 11,702,400","Rs 11,702,400",Approved,Compliant with Guidelines,"13,004,135",INV-AQLO36JW,Al-Faisal Supplies Ltd,BR-MCB-2960792749,MCB Bank Limited,FALSE
12/1/2024,Zara Khan,Naya Umeed NGO,Lahore,Vocational Training Centers for Youth,"Rs 203,300","Rs 163,515",Approved,Compliant with Guidelines,"13,004,135",INV-VHQUEU1O,BlueSky Logistics Company,BR-ASK-0861963035,Askari Bank,FALSE
10/1/2023,Imran Anwar,Green Villages Pakistan,Thatta,Disaster Relief Rapid Response in Medical camp,"Rs 1,674,400","Rs 1,674,400",Approved,Compliant with Guidelines,"125,663",INV-7Y8AUBPM,GreenLeaf Construction,BR-MEBL-5848344989,Meezan Bank,FALSE
12/19/2023,Fahad Javed,Sahara Development Foundation,Zhob,Clean Water & Sanitation Project,"Rs 3,719,900","Rs 3,719,900",Approved,Compliant with Guidelines,"71,843",INV-VCIEOPTS,RO-Water Plant,BR-SCB-9873843515,Standard Chartered Pakistan,FALSE
7/6/2023,Yasir Butt,Sehat & Taleem Initiative,Turbat,Town High School Rehabilitation,"Rs 9,272,100","Rs 9,272,100",Approved,Compliant with Guidelines,"268,625",INV-0ZWVHYJE,EduServe Publishers,BR-ALF-8143314055,Bank Alfalah,FALSE
4/20/2023,Fahad Hussain,Roshan Welfare Trust,Mardan,Community Health Camps,"Rs 132,000","Rs 132,000",Approved,Compliant with Guidelines,"198,231",INV-XY7IN1R6,Al-Faisal Supplies Ltd,BR-ASK-5559422146,Askari Bank,FALSE
9/3/2022,Nadia Qureshi,Naya Umeed NGO,Dera Ismail Khan,Vocational Training for Youth,"Rs 1,341,800","Rs 1,341,750",Approved,Compliant with Guidelines,"67,231",INV-YN3SCSBL,Bright Future Printers,BR-FBL-3081846646,Faysal Bank,FALSE
8/3/2023,Fahad Shah,Sehat & Taleem Initiative,Peshawar,Vocational Training for Women,"Rs 6,862,200","Rs 6,862,200",Approved,Compliant with Guidelines,"1,905,975",INV-N7QLBW66,EduServe Publishers,BR-HBL-0814920182,Habib Bank Limited,FALSE
11/27/2024,Sana Farooq,Roshan Welfare Trust,Lahore,Disaster Relief Rapid Response,"Rs 156,600","Rs 156,600",Approved,Compliant with Guidelines,"13,004,135",INV-DDCIROW8,Al-Faisal Supplies Ltd,BR-HBL-1515820098,Habib Bank Limited,FALSE
12/2/2021,Yasir Sheikh,Naya Umeed NGO,Peshawar,Vocational Training for Youth,"Rs 586,500","Rs 586,500",Approved,Compliant with Guidelines,"1,905,975",INV-2H5CFGK7,United Medical & Relief Vendors,BR-FBL-2035353121,Faysal Bank,FALSE
4/19/2023,Khadija Saleem,Nishat Welfare Organization,Hyderabad,Community Health Camps in small Towns,"Rs 5,569,500","Rs 5,569,454",Approved,Compliant with Guidelines,"1,968,000",INV-3OPPOYDV,PakTech Equipments Ltd,BR-SCB-1016937539,Standard Chartered Pakistan,FALSE
12/3/2023,Hassan Mirza,Hayaat Education Trust,Larkana,Girls High EDUCATION Plan,"Rs 163,400","Rs 163,388",Approved,Compliant with Guidelines,"208,491",INV-YFH3XDVQ,Sunrise Stationers & Books,BR-NBP-8157023346,National Bank of Pakistan,FALSE
5/30/2022,Imran Raza,Sahara Development Foundation,Mingora,Covid-19 Awareness & Vaccination Support,"Rs 184,900","Rs 184,900",Approved,Compliant with Guidelines,"28,231",INV-3WYZTDG7,Nishat Pharmacy Ltd,BR-MEBL-6287577424,Meezan Bank,FALSE
2/20/2021,Usman Qureshi,Green Villages Pakistan,Karachi,Community Health Camps,"Rs 57,600","Rs 57,600",Approved,Compliant with Guidelines,"18,870,000",INV-F4GELLX8,Metro Office Solutions,BR-FBL-9369667979,Faysal Bank,FALSE
11/13/2022,Fatima Butt,Green Villages Pakistan,Quetta,Disaster Relief Rapid Response,"Rs 402,300","Rs 402,289",Approved,Compliant with Guidelines,"1,565,546",INV-FK9KKVP2,GreenLeaf Construction,BR-SCB-1893471186,Standard Chartered Pakistan,FALSE
10/3/2021,Yasir Shah,Sahara Development Foundation,Nowshera,Small Aggriculture Businesses,"Rs 10,587,100","Rs 10,587,100",Approved,Compliant with Guidelines,"38,231",INV-J2X707TL,Jan-Fatima Fertilizer Company,BR-FBL-2488451476,Faysal Bank,FALSE
11/29/2021,Sana Qureshi,Roshan Welfare Trust,Faisalabad,Small Garments Business for Housewise,"Rs 2,045,500","Rs 2,045,500",Approved,Compliant with Guidelines,"3,691,999",INV-WAPKE5AJ,BlueSky Logistics Company,BR-HBL-0819840769,Habib Bank Limited,FALSE
9/1/2021,Zara Shah,Hayaat Education Trust,Karachi,Boys-EDUCATION Plan,"Rs 6,350,500","Rs 6,350,500",Approved,Compliant with Guidelines,"18,870,000",INV-VIF81J67,Bright Future Printers,BR-ALF-8788194117,Bank Alfalah,FALSE
4/10/2024,Fahad Butt,Green Villages Pakistan,Faisalabad,Girls EDUCATION Drive,"Rs 4,655,900","Rs 4,655,900",Approved,Compliant with Guidelines,"3,691,999",INV-KTX6QCAL,EduServe Publishers,BR-ALF-6568738874,Bank Alfalah,FALSE
2/10/2024,Omar Farooq,Nishat Welfare Organization,Lahore,Small Garments Business for Housewise,"Rs 393,800","Rs 393,800",Approved,Compliant with Guidelines,"13,004,135",INV-2Z7MB41G,BlueSky Logistics Company,BR-UBL-1034622601,United Bank Limited,FALSE
9/19/2023,Mehwish Butt,Naya Umeed NGO,Seeta Village,Livelihoods: Small Business Grants,"Rs 62,600","Rs 62,600",Approved,Compliant with Guidelines,"5,285",INV-69DTQM73,Metro Office Solutions,BR-MEBL-7336022639,Meezan Bank,FALSE
11/19/2021,Nabeel Shah,Sehat & Taleem Initiative,Faisalabad,Clean Water & Sanitation Project,"Rs 93,300","Rs 93,300",Approved,Compliant with Guidelines,"3,691,999",INV-DGP56EFI,BlueSky Logistics Company,BR-NBP-7802112273,National Bank of Pakistan,FALSE
3/15/2022,Nadia Mirza,Sehat & Taleem Initiative,Swabi,Maternal and Child Health Outreach,"Rs 4,046,200","Rs 4,046,200",Approved,Compliant with Guidelines,"46,320",INV-RUD24DKR,PakTech Equipments Ltd,BR-ASK-2096721059,Askari Bank,FALSE
11/17/2021,Yasir Farooq,Mustukbil HAMARA Trust,Lahore,Girls EDUCATION Drive,"Rs 3,942,600","Rs 3,942,600",Approved,Compliant with Guidelines,"13,004,135",INV-WPMJO2CM,Sunrise Stationers & Books,BR-NBP-6412370904,National Bank of Pakistan,FALSE
3/29/2022,Imran Abbasi,Sehat & Taleem Initiative,Multan,Community Health Camps,"Rs 4,353,000","Rs 4,353,000",Approved,Compliant with Guidelines,"2,215,381",INV-JSS3T14L,PakTech Equipments Ltd,BR-FBL-1672974624,Faysal Bank,FALSE
12/15/2024,Mubashir Abbasi,Naya Umeed NGO,Peshawar,Disaster Relief Rapid Response in School,"Rs 149,300","Rs 149,300",Approved,Compliant with Guidelines,"1,905,975",INV-EPU4U5EO,Sunrise Stationers & Books,BR-ALF-2344423514,Bank Alfalah,FALSE
8/19/2022,Hassan Javed,Naya Umeed NGO,Abbottabad,Rural College Rehabilitation for Boys,"Rs 328,200","Rs 328,200",Approved,Compliant with Guidelines,"234,395",INV-BZRKZOEA,EduServe Publishers,BR-MCB-1343657586,MCB Bank Limited,FALSE
4/26/2024,Hassan Malik,Green Villages Pakistan,Sialkot,Community Health Camps,"Rs 77,900","Rs 77,900",Approved,Compliant with Guidelines,"835,337",INV-2DZDRHEZ,EduServe Publishers ,BR-UBL-4010062286,United Bank Limited,FALSE
1/27/2024,Imran Khan,TALEEM-DO Welfare Organization,Quetta,Rural College Rehabilitation for Boys,"Rs 120,500","Rs 120,455",Approved,Compliant with Guidelines,"1,565,546",INV-89G9T6JZ,GreenLeaf Construction,BR-NBP-0167963124,National Bank of Pakistan,FALSE
6/13/2022,Khadija Butt,Sehat & Taleem Initiative,Rawalpindi,Small Business Grants for Youth,"Rs 408,800","Rs 355,788",Approved,Compliant with Guidelines,"3,357,612",INV-RDJAK2JY,Bright Future Printers,BR-MEBL-2858660416,Meezan Bank,FALSE
7/7/2022,Hassan Malik,Roshan Welfare Trust,Lahore,Community Health Camps,"Rs 12,430,700","Rs 12,430,700",Approved,Compliant with Guidelines,"13,004,135",INV-1QCG41RK,SafeHands Pharmaceuticals Ltd,BR-UBL-9326349980,United Bank Limited,FALSE
3/14/2024,Yasir Raza,Roshan Welfare Trust,Quetta,Clean Water & Sanitation Project,"Rs 10,729,500","Rs 10,729,500",Approved,Compliant with Guidelines,"1,565,546",INV-P0MTZ1FP,BlueSky Logistics,BR-MCB-4690936650,MCB Bank Limited,FALSE
4/20/2024,Hira Ahmed,Sehat & Taleem Initiative,Karachi,Tree-Plantation & Greenery Initiative,"Rs 2,648,600","Rs 2,648,580",Approved,Compliant with Guidelines,"18,870,000",INV-N62U8Z1X,Waheed Plantation,BR-ABL-8122228757,Allied Bank,FALSE
8/15/2021,Sana Qureshi,Roshan Welfare Trust,Sialkot,Rural School Rehabilitation,"Rs 91,000","Rs 91,000",Approved,Compliant with Guidelines,"835,337",INV-TLK87N4U,Sunrise Stationers & Books,BR-NBP-0169764199,National Bank of Pakistan,FALSE
1/16/2023,Ali Anwar,Naya Umeed NGO,Multan,Covid-19 Awareness & Vaccination Support,"Rs 3,274,800","Rs 3,274,760",Approved,Compliant with Guidelines,"2,215,381",INV-X2CRL39Y,BlueSky Logistics Company,BR-SCB-7215858456,Standard Chartered Pakistan,FALSE
3/10/2024,Omar Ahmed,Sahara Development Foundation,Rawalpindi,Small Business Grants,"Rs 1,449,400","Rs 1,449,400",Approved,Compliant with Guidelines,"3,357,612",INV-AWI2EX4K,Sunrise Stationers & Books,BR-MCB-0917205862,MCB Bank Limited,FALSE
